,,,Offense,,,,,,,,,Defense,,,,,,,,Disciplinary,,,
Player,Team,Pos,MIN,G,A,S,SOG,CC,P,CR,ACR,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
Kylian Mbappe,FRA,F,572.5,6.5,1.1,22.1,8.3,9.0,134.6,4.4,1.2,1.3,4.2,2.8,0.3,3.2,0.0,0.0,0.0,11.3,7.3,0.4,0.0
Harry Kane,ENG,F,552.3,6.4,1.0,20.9,8.0,8.7,132.3,4.2,1.2,1.4,4.0,1.8,0.3,3.0,0.0,0.0,0.0,10.6,6.9,0.4,0.0
Lionel Messi,ARG,F/M,517.3,5.0,1.5,15.9,6.1,8.9,158.4,30.6,2.8,2.7,5.9,3.6,0.1,2.0,0.0,0.0,0.0,10.1,7.3,0.3,0.0
Erling Haaland,NOR,F,439.3,4.6,1.0,14.3,5.6,5.9,92.0,3.1,0.9,1.0,3.0,1.5,0.3,2.7,0.0,0.0,0.0,7.6,6.7,0.4,0.1
Cristiano Ronaldo,POR,F,492.9,4.4,0.9,18.7,7.0,7.6,118.3,3.8,1.1,1.2,3.5,1.9,0.2,2.7,0.0,0.0,0.0,9.3,6.6,0.5,0.0
Mikel Oyarzabal,ESP,F/M,587.3,3.8,1.2,22.1,8.7,9.0,239.0,4.2,1.2,1.0,3.6,2.1,0.1,2.1,0.0,0.0,0.0,11.1,6.3,0.2,0.0
Vinicius Junior,BRA,F,470.2,3.3,1.2,12.1,4.8,9.2,151.4,9.9,2.6,2.7,6.9,4.4,0.1,1.2,0.0,0.0,0.0,11.8,6.1,0.7,0.0
Ferran Torres,ESP,F,574.2,3.2,1.7,17.4,7.2,9.3,304.0,16.4,3.4,2.1,5.3,3.0,0.1,1.5,0.0,0.0,0.0,10.3,6.2,0.1,0.0
Kai Havertz,GER,F/M,492.9,3.1,0.9,19.0,7.1,7.9,118.7,3.8,1.0,1.2,3.7,1.9,0.2,2.9,0.0,0.0,0.0,7.9,7.0,0.5,0.1
Ousmane Dembele,FRA,F,534.3,2.8,1.4,13.2,5.3,11.6,208.4,20.6,3.1,2.9,7.8,5.2,0.5,2.0,0.0,0.0,0.0,11.5,4.9,0.4,0.0
Dani Olmo,ESP,F/M,574.2,2.4,2.0,18.4,7.7,12.6,313.0,13.3,4.3,1.9,5.5,3.3,0.1,1.2,0.0,0.0,0.0,15.4,4.3,0.1,0.0
Julian Alvarez,ARG,F/M,529.0,2.2,1.0,19.9,7.5,8.5,124.5,16.0,1.0,1.3,4.1,2.4,0.3,2.9,0.0,0.0,0.0,10.8,7.4,0.6,0.0
Cody Gakpo,NED,F/M,399.5,2.1,1.2,8.3,3.0,6.6,123.1,19.5,2.2,2.3,5.5,3.2,0.2,1.2,0.0,0.0,0.0,7.8,5.9,0.5,0.1
Matheus Cunha,BRA,F/M,529.0,1.9,0.8,19.2,7.2,8.2,123.6,3.9,1.0,1.3,4.0,2.4,0.3,2.9,0.0,0.0,0.0,10.6,7.5,0.6,0.0
Raphinha,BRA,F/M,470.2,1.8,1.2,11.3,4.5,10.2,147.1,38.7,3.3,2.7,6.6,5.0,0.1,2.4,0.0,0.0,0.0,8.2,5.0,0.7,0.0
Memphis Depay,NED,F,449.5,1.8,0.9,13.9,4.5,6.3,100.5,26.0,0.8,1.1,3.2,1.7,0.3,2.9,0.0,0.0,0.0,7.0,7.2,0.4,0.1
Darwin Nunez,URU,F,380.1,1.5,0.5,10.5,3.5,4.5,70.5,2.6,0.7,1.1,3.0,1.6,0.2,2.6,0.0,0.0,0.0,6.5,6.2,0.5,0.0
Rafael Leao,POR,F/M,438.2,1.5,1.2,11.9,4.6,8.5,144.8,9.8,2.7,2.6,6.1,3.7,0.1,1.1,0.0,0.0,0.0,10.3,5.4,0.5,0.0
Bukayo Saka,ENG,F/M,490.9,1.4,1.4,11.7,5.0,10.2,157.5,21.4,3.8,2.9,6.6,3.8,0.1,2.5,0.0,0.0,0.0,8.2,4.6,0.5,0.0
Jude Bellingham,ENG,F/M,515.5,1.4,1.3,12.1,5.0,10.8,204.8,10.8,3.0,2.9,7.6,3.2,0.5,1.9,0.0,0.0,0.0,10.8,4.7,0.3,0.0
Kerem Akturkoglu,TUR,F/M,371.4,1.4,0.4,10.7,3.4,4.3,66.4,2.6,0.7,1.1,2.8,1.6,0.2,3.1,0.0,0.0,0.0,6.1,5.9,0.4,0.0
